Date,PolarityScore,SubjectivityScore
01/01/2018,0.068,0.382
02/01/2018,0.064,0.385
03/01/2018,0.07,0.382
04/01/2018,0.089,0.403
05/01/2018,0.069,0.391
06/01/2018,0.087,0.407
07/01/2018,0.065,0.373
08/01/2018,0.078,0.393
09/01/2018,0.071,0.379
10/01/2018,0.071,0.389
11/01/2018,0.075,0.385
12/01/2018,0.081,0.381
13/01/2018,0.065,0.375
14/01/2018,0.076,0.395
15/01/2018,0.08,0.401
16/01/2018,0.078,0.392
17/01/2018,0.076,0.379
18/01/2018,0.072,0.371
19/01/2018,0.085,0.378
20/01/2018,0.073,0.394
21/01/2018,0.076,0.396
22/01/2018,0.086,0.418
23/01/2018,0.093,0.393
24/01/2018,0.084,0.391
25/01/2018,0.059,0.393
26/01/2018,0.099,0.372
27/01/2018,0.073,0.39
28/01/2018,0.081,0.406
29/01/2018,0.081,0.395
30/01/2018,0.072,0.379
31/01/2018,0.065,0.375
01/02/2018,0.073,0.388
02/02/2018,0.069,0.396
03/02/2018,0.072,0.406
04/02/2018,0.086,0.38
05/02/2018,0.08,0.387
06/02/2018,0.071,0.394
07/02/2018,0.087,0.384
08/02/2018,0.085,0.382
09/02/2018,0.068,0.39
10/02/2018,0.076,0.375
11/02/2018,0.068,0.377
12/02/2018,0.066,0.388
13/02/2018,0.069,0.37
14/02/2018,0.087,0.391
15/02/2018,0.068,0.378
16/02/2018,0.076,0.389
17/02/2018,0.085,0.385
18/02/2018,0.051,0.389
19/02/2018,0.066,0.396
20/02/2018,0.069,0.38
21/02/2018,0.067,0.39
22/02/2018,0.058,0.384
23/02/2018,0.081,0.391
24/02/2018,0.072,0.377
25/02/2018,0.066,0.385
26/02/2018,0.086,0.4
27/02/2018,0.075,0.39
28/02/2018,0.067,0.384
01/03/2018,0.069,0.396
02/03/2018,0.074,0.381
03/03/2018,0.079,0.404
04/03/2018,0.063,0.388
05/03/2018,0.065,0.389
06/03/2018,0.081,0.388
07/03/2018,0.076,0.385
08/03/2018,0.08,0.394
09/03/2018,0.076,0.386
10/03/2018,0.095,0.393
11/03/2018,0.084,0.382
12/03/2018,0.076,0.396
13/03/2018,0.074,0.377
14/03/2018,0.05,0.366
15/03/2018,0.079,0.4
16/03/2018,0.048,0.363
17/03/2018,0.088,0.413
18/03/2018,0.077,0.399
19/03/2018,0.077,0.391
20/03/2018,0.087,0.397
21/03/2018,0.084,0.395
22/03/2018,0.088,0.398
23/03/2018,0.062,0.382
24/03/2018,0.092,0.396
25/03/2018,0.073,0.363
26/03/2018,0.077,0.409
27/03/2018,0.08,0.388
28/03/2018,0.064,0.363
29/03/2018,0.067,0.368
30/03/2018,0.062,0.369
31/03/2018,0.062,0.406
01/04/2018,0.075,0.385
02/04/2018,0.079,0.393
03/04/2018,0.079,0.394
04/04/2018,0.07,0.382
05/04/2018,0.093,0.391
06/04/2018,0.074,0.384
07/04/2018,0.07,0.404
08/04/2018,0.081,0.406
09/04/2018,0.079,0.389
10/04/2018,0.08,0.383
11/04/2018,0.069,0.382
12/04/2018,0.071,0.4
13/04/2018,0.081,0.389
14/04/2018,0.075,0.388
15/04/2018,0.069,0.38
16/04/2018,0.08,0.398
17/04/2018,0.09,0.388
18/04/2018,0.09,0.401
19/04/2018,0.068,0.384
20/04/2018,0.08,0.391
21/04/2018,0.089,0.407
22/04/2018,0.085,0.388
23/04/2018,0.08,0.392
24/04/2018,0.071,0.388
25/04/2018,0.068,0.4
26/04/2018,0.068,0.386
27/04/2018,0.079,0.381
28/04/2018,0.071,0.385
29/04/2018,0.081,0.397
30/04/2018,0.07,0.378
01/05/2018,0.087,0.372
